Programa,Ação,Subação, Orçado (2018), Empenhado (2018),Produto,Previsto,Executado,Justificativa,Comentários,Projeto estratégico,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,1 - Gestão  e Monitoramento da Assistência Alimentar à Rede Social Conveniada,7520544,"5651165,85",-,,,,,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,2 - Assistência Alimentar às Unidades de Acolhimento Institucional,5619800,"5018836,13",Refeição Servida,6921090,7112520,"A demanda de consumo pode variar ao longo do ano, seja pela entrada e saída de beneficiários, seja pela adesão às refeições.",,N,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,3 - Assistência Alimentar aos CRAS,30000,19250,Refeição Servida,30000,18724,A demanda depende das atividades dos CRAS e da adesão das famílias dos territórios.,,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,4 - Assistência Alimentar às Familias em Situações Emergenciais,1000000,"45163,65",Família beneficiada,1000,460,"Em face de restrições do período eleitoral, houve atrasos na implementação do atendimento às famílias em situação de extrema pobreza.",,S,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,5 - Alimentação para famílias vulneráveis (Covid-19), -, -,Cesta básica concedida,,,,,N,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,"1 - Modernização, manutenção e fornecimento de refeições subsidiadas em restaurantes e refeitórios populares",27029530,"21705084,18",Refeição Servida,3000000,2427888,A execução foi menor devido ao atraso em reabrir o café da manhã e o jantar e a não implantação da abertura do RP1 nos finais de semana e feriado.,"Em 2018 a subação se chamava ""Fornecimento de Refeições Subsidiadas""",S,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,3 - Modernização de Restaurantes e refeitórios populares,1000000,9683,Equipamentos mantidos,3,0,Atraso na licitação de equipamentos. Empenhos refere-se ao inicio das aquisições. Menos de 1% do previsto.,,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,"5 - Pesquisa Mensal de Gêneros Alimentícios e Material de Higiene e Limpeza
",55120,"34422,31",Pesquisa realizada,12,12,,,,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,6 - Construção de Refeitório Popular,635580,"88727,93","Próprio construído, ampliado, reformado ou mantido",1,0,"Sem execução até o momento. Nota de empenho emitida em Abril/2018, referente indenização devido majoração de ISSQN para o contrato de execução de obra de reforma do Restaurante Popular II.","Em 2018, a subação se chamava ""Construção, Ampliação e Reforma de Restaurantes Populares"" e fazia parte da ação 1268, com o mesmo nome.",N,
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,7 - Ações de Enfrentamento ao Covid-19,,,-,,,,,N,
