Programa,Ação,Subação, Orçado (2021), Empenhado (1º quad. 2021),Produto, Previsto, Executado,Justificativa,Comentários,Projeto estratégico
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,2 - Assistência Alimentar às Unidades de Acolhimento Institucional,"  6.359.375,00 ","  3.098.756,18 ",Refeição Servida,  6.952.000 ,  2.048.691 ,,,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,4 - Assistência Alimentar às Familias em Situações Emergenciais,"  1.730.582,00 ","  33.519,50 ",Família beneficiada,  1.600 ,  523 ,,"- Segundo PBH (2018), trata-se de alimentação para famílias em situação de extrema pobreza (SUASS) ou desabrigadas (Defesa Civil).",S
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2120 - Gestão da Assistência Alimentar à Rede Socioassistencial,5 - Alimentação para famílias vulneráveis (Covid-19),  -   ,"  43.644.808,30 ",Cesta básica concedida,  -   ,  614.591 ,Sequencial criado em 2021 em razão da continuidade da pandemia da COVID 19 (não programando em 2020).  ,,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,"1 - Modernização, manutenção e fornecimento de refeições subsidiadas em restaurantes e refeitórios populares","  26.589.496,00 ","  10.873.861,27 ",Refeição Servida,  2.750.000 ,  590.210 ,,,S
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,6 - Construção de Refeitório Popular,"  350.000,00 ",  -   ,"Próprio construído, ampliado, reformado ou mantido",  1 ,  -   ,,,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2307 - Gestão dos Restaurantes e Refeitórios Populares,7 - Ações de Enfrentamento ao Covid-19,"  500,00 ",  -   ,-,-,-,-,,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,7 - Gestão e Monitoramento da Alimentação Escolar,"  636.233,00 ","  94.314,22 ",-,-,-,-,"- Segundo PBH (2018),  ""a gestão divide-se nas etapas de planejamento e gestão de compras de gêneros alimentícios; logística, armazenamento, controle de estoque e controle de qualidade; e supervisão alimentar. A supervisão alimentar ocorre por 
visitas técnicas a todas as instituições de ensino, para acompanhamento e 
monitoramento da execução in loco. A supervisão conta com o SISAN - Sistema de 
Supervisão Alimentar e Nutricional, que é um aplicativo de celular com listas de 
verificação e índice de conformidades, pautados na legislação, que auxiliam na 
padronização das condutas e emissão de relatórios. Toda visita técnica gera um 
relatório ao gestor escolar com orientações e prazos para adequações, quando for o caso. A gestão do PNAE é realizada de forma compartilhada com a Secretaria 
Municipal de Educação e fiscalizada pelo Conselho de Alimentação Escolar."" ",N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,10 - Aquisição de Alimentos em Compras da Agricultura Familiar no âmbito do Programa Nacional de Alimentação Escolar - PNAE,"  750,00 ",  -   ,Alimento Adquirido (percentual),  30 ,  -   ,,,S
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,11 - Alimentação para alunos da rede pública e parceira (Covid-19),"  2.000,00 ","  37.613.644,92 ",Cesta básica concedida,  142.000 ,  411.998 ,Concessão das cestas foi continuada devido a pandemia e do não retorno das aulas presenciais,,N
132 - Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar,2761 - Gestão da Alimentação Escolar,"12 - Alimentação Escolar para as unidades de Educação Infantil, Ensino Fundamental e EJA","  43.756.456,00 ","  18.173,46 ",Refeição Servida,  91.147.338 ,  -   ,"Despesas empenhadas referem-se à alimentação escolar, e a Meta física será informada posterioremente.","- 75% do recurso é repasse do FNDE, e há histórico de atraso.",N
