uo,nome_uo,funcao,nome_funcao,subfuncao,nome_subfuncao,programa,nome_programa,projativ,nome_projativ,subitem_projativ,nome_subitem_projativ,valor_orcado,credito_disponivel,valor_empenhado,valor_liquidado,valor_pago,saldo_empenho_dezembro_câmara,saldo_emp_liq_dezembro_câmara,valor_liquidado,valor_pago
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,219508000,219008000,"183467340,23","183467340,23","183467340,23","5655703,82","16924155,42","177811636,41","166543184,81"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2920,Transparência e Comunicação do Poder Legislativo Municipal,1,Divulgação de Interesse Público e Oficial,5717000,5717000,"297483,31","297483,31","297483,31","46806,3","48198,3","250677,01","249285,01"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2921,Modernização da Infraestrutura Tecnológica do Poder Legislativo Municipal,1,Modernização da Infraestrutura Tecnológica do Poder Legislativo Municipal,4180000,4680000,"599162,66","599162,66","599162,66",10280,19016,"588882,66","580146,66"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2922,Modernização da Infraestrutura Física do Poder Legislativo Municipal,1,Modernização da Infraestrutura Física do Poder Legislativo Municipal,5000000,5000000,"299480,17","299480,17","299480,17","91396,8","109456,87","208083,37","190023,3"
101,CÂMARA MUNICIPAL,9,Previdência Social,272,Previdência do Regime Estatutário,33,Encargos com Inativos do Legislativo,3003,Encargos com Inativos do Legislativo,1,Encargos com Inativos do Legislativo.,13437000,13437000,"11264351,3","11264351,3","11264351,3","28330,46",900000,"11236020,84","10364351,3"
201,GABINETE DO PREFEITO,4,Administração,122,Administração Geral,7,Apoio Administrativo e Financeiro,2900,Serviços Administrativos e Financeiros,1,Serviços Administrativos e Financeiros,30019046,33038208,"28038836,84","26347762,74","26115780,43",0,0,"26347762,74","26115780,43"
201,GABINETE DO PREFEITO,4,Administração,122,Administração Geral,7,Apoio Administrativo e Financeiro,2900,Serviços Administrativos e Financeiros,4,"Feiras Permanentes de Artes, Artesanato e Produtores de Variedades de Belo Horizonte",805000,1176377,"955247,86","860975,99","780878,88",0,0,"860975,99","780878,88"
201,GABINETE DO PREFEITO,4,Administração,122,Administração Geral,96,Coordenação Superior Municipal,2004,Direção Superior da Política Municipal,1,Direção Superior da Política Municipal,5154243,9151451,"8938067,15","8660461,54","8636132,37",0,0,"8660461,54","8636132,37"
202,GABINETE DO VICE-PREFEITO,4,Administração,122,Administração Geral,96,Coordenação Superior Municipal,2801,Manutenção do Gabinete do Vice-Prefeito,1,Manutenção do Gabinete do Vice-Prefeito,1230971,1303976,"1239179,95","1209932,44","1205544,92",0,0,"1209932,44","1205544,92"
500,PROCURADORIA-GERAL MUNICÍPIO  ,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,3,Prestação de Serviços Jurídicos,2010,Gestão Processual dos Assuntos Jurídicos,1,Gestão Processual dos Assuntos Jurídicos,11602000,17477000,"14353152,62","14210417,99","14180683,33",0,0,"14210417,99","14180683,33"
500,PROCURADORIA-GERAL MUNICÍPIO  ,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,3,Prestação de Serviços Jurídicos,2011,Indenizações Administrativas e Sentenças Judiciais,1,Indenizações Administrativas e Sentenças Judiciais,1450000,2560586,"1953908,3","1950907,02","1892856,42",0,0,"1950907,02","1892856,42"
500,PROCURADORIA-GERAL MUNICÍPIO  ,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,3,Prestação de Serviços Jurídicos,2012,Gerenciamento do Sistema Processual de Cobrança da Dívida Ativa,1,Gerenciamento do Sistema Processual de Cobrança da Dívida Ativa,450000,480000,480000,440000,440000,0,0,440000,440000
500,PROCURADORIA-GERAL MUNICÍPIO  ,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,3,Prestação de Serviços Jurídicos,2028,Gerenciamento de Atividades Contenciosas,1,Gerenciamento de Atividades Contenciosas,42327302,38216602,"34402433,12","34395433,12","34393433,12",0,0,"34395433,12","34393433,12"
501,FUNDO DA PROCURADORIA-GERAL,4,Administração,123,Administração Financeira,3,Prestação de Serviços Jurídicos,2830,Operação do Fundo da Procuradoria-Geral do Município,1,Operação do Fundo da Procuradoria-Geral do Município,7207000,7093880,"1502973,35","1176840,54","1162840,54",0,0,"1176840,54","1162840,54"
501,FUNDO DA PROCURADORIA-GERAL,4,Administração,123,Administração Financeira,3,Prestação de Serviços Jurídicos,2830,Operação do Fundo da Procuradoria-Geral do Município,2,"Fomento à Capacitação, Formação, Aperfeiçoamento, Treinamento e Participação em Eventos",150000,269120,"236633,19","229195,99","229195,99",0,0,"229195,99","229195,99"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,121,Planejamento e Orçamento,4,Gestão do Planejamento e Orçamento,2518,Gestão do Processo de Planejamento e Orçamento,1,Gestão do Processo de Planejamento e Orçamento,5382640,5429640,"4511649,72","4469860,23","4468883,69",0,0,"4469860,23","4468883,69"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,121,Planejamento e Orçamento,4,Gestão do Planejamento e Orçamento,2518,Gestão do Processo de Planejamento e Orçamento,2,Monitoramento Local dos Objetivos de Desenvolvimento Sustentável - ODS,20000,20000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,121,Planejamento e Orçamento,4,Gestão do Planejamento e Orçamento,2518,Gestão do Processo de Planejamento e Orçamento,3,Implantação do Sistema de Monitoramento para Planejamento e Gestão Municipal,10000,10000,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,121,Planejamento e Orçamento,148,"Gestão do Planejamento, Orçamento e Informação",2900,Serviços Administrativos e Financeiros,1,Serviços Administrativos e Financeiros,7690700,11141000,"10887941,81","10349265,27","10336648,93",0,0,"10349265,27","10336648,93"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,1,Serviços Administrativos e Financeiros,39465000,46464305,"41113855,59","40361338,63","40348520,67",0,0,"40361338,63","40348520,67"
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,2,Qualificação Profissional,180000,51300,0,0,0,0,0,0,0
600,SEC. PLANEJ. ORÇAM. GESTÃO,4,Administração,122,Administração Geral,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,3,Aperfeiçoamento Profissional ,330000,330000,1565,1565,1565,0,0,1565,1565
