uo,Nome,ua,Nome,programa,Nome,acao,Nome,subacao,Nome,unidade_medida,Produto,qtde_prevista,Executado,justificativa,descricao_restricao,eficacia
101,CÂMARA MUNICIPAL,1000,CÂMARA MUNICIPAL,1,Atuação Legislativa da Câmara Municipal,2921,Modernização da Infraestrutura Tecnológica do Poder Legislativo Municipal,2,Reposição de microcomputadores obsoletos,Unidade,Equipamento substituído,160,0,O processo para a aquisição de microcomputadores foi aberto em 25/09/2018 e atualmente aguarda a publicação da Lei Orçamentária Anual de 2019 para emissão de cálculo de impacto orçamentário-financeiro e consequente continuidade na tramitação. ,Administrativas e/ou Gerenciais,0
201,GABINETE DO PREFEITO,200,COORDENADORIA DE ATENDIMENTO REGIONAL CENTRO-SUL,7,Apoio Administrativo e Financeiro,2900,Serviços Administrativos e Financeiros,4,"Feiras Permanentes de Artes, Artesanato e Produtores de Variedades de Belo Horizonte",Unidade,Feira realizada,52,156,"Feira de artesanato e Produtores de Variedades de Belo Horizonte (52 feiras anuais)
Feira de Plantas e Flores Naturais (52 feiras anuais)
Feira Tom Jobim – Antiguidades e Comidas Típicas Nacionais e Estrangeiras (52 feiras anuais)
",,300
501,FUNDO DA PROCURADORIA-GERAL DO MUNICÍPIO,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,3,Prestação de Serviços Jurídicos,2830,Operação do Fundo da Procuradoria-Geral do Município,2,"Fomento à Capacitação, Formação, Aperfeiçoamento, Treinamento e Participação em Eventos",Pessoa,Pessoa capacitada,84,14,Não houve interesse de todos os procuradores nos cursos ofertados no mercado.,Outras,"16,667"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,148,"Gestão do Planejamento, Orçamento e Informação",1373,Gestão do Plano Diretor de Informática,2,Internet Banda Larga Disponibilizada em Vilas e Favelas,Unidade,Internet disponibilizada,49,5,"Convênio autorizou o uso do rendimento em final de novembro, estamos em fase de licitação. Meta não foi cumprida devido a demora no repasse financeiro externo.",Financiamento Externo,"10,204"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1500,SUBSECRETARIA DE PLANEJAMENTO E ORÇAMENTO,4,Gestão do Planejamento e Orçamento,2518,Gestão do Processo de Planejamento e Orçamento,2,Monitoramento Local dos Objetivos de Desenvolvimento Sustentável - ODS,Unidade,Relatório publicado,1,1,,,100
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1500,SUBSECRETARIA DE PLANEJAMENTO E ORÇAMENTO,4,Gestão do Planejamento e Orçamento,2518,Gestão do Processo de Planejamento e Orçamento,3,Implantação do Sistema de Monitoramento para Planejamento e Gestão Municipal,Percentual de execução,Sistema implantado,100,30,Meta superdimensionada. Valores revisados e redistribuídos nos anos de 2019 a 2021.,Erro no dimensionamento da meta,30
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1601,DIRETORIA DE POLÍTICAS DE GESTÃO ESTRATÉGICA DE PESSOAS,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,1,Prevenção e Promoção da Saúde,Unidade,Avaliação realizada,5500,4578,"Foram realizadas menos avaliações do que o previsto, devido a demanda sazonal.",Alterações de demanda em relação aos produtos ou serviços ofertados à população,"83,236"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1601,DIRETORIA DE POLÍTICAS DE GESTÃO ESTRATÉGICA DE PESSOAS,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,2,Gestão dos Contratos de Saúde do Trabalhador,Unidade,Perícia médica realizada,2100,30875,"A meta 2100 é mensal, o que totalizaria 25.200 perícias médicas no ano.",,"1470,238"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1601,DIRETORIA DE POLÍTICAS DE GESTÃO ESTRATÉGICA DE PESSOAS,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,3,Contratação de exames Videolaringoestroboscopia ,Unidade,Exame realizado,2100,0,"Termo de Referência foi feito e entregue à DPGF/SMPOG, no entanto a licitação não foi autorizada pelo Gabinete SUGESP. Por esse motivo essa meta ainda não foi cumprida.",Administrativas e/ou Gerenciais,0
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1601,DIRETORIA DE POLÍTICAS DE GESTÃO ESTRATÉGICA DE PESSOAS,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,4,Programa de Promoção e Prevenção a Riscos Ambientais,Unidade,Unidade implantanda,300,57,Meta realizada parcialmente. Carência de um profissional de Engenharia de Segurança do Trabalho para coordenar o programa. A partir de Janeiro de 2019 haverá a incorporação deste profissional à Gerência .,Administrativas e/ou Gerenciais,19
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1601,DIRETORIA DE POLÍTICAS DE GESTÃO ESTRATÉGICA DE PESSOAS,14,Gestão dos Recursos Humanos,2021,Programa de Atenção a Saúde e Segurança do Servidor,5,Contratação de LTCAT para entrega de Perfil Profissiográfico Previdenciário ,Unidade,Laudo entregue,1,1,,,100
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1601,DIRETORIA DE POLÍTICAS DE GESTÃO ESTRATÉGICA DE PESSOAS,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,2,Qualificação Profissional,Pessoa,Pessoa capacitada,4000,1893,"Os cursos são ofertados, considerando o interesse da Administração Pública Municipal e com vistas ao aprimoramento profissional dos servidores e a melhoria da prestação de serviços ao cidadão. Houve erro no dimensionamento da meta.",Erro no dimensionamento da meta,"47,325"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1601,DIRETORIA DE POLÍTICAS DE GESTÃO ESTRATÉGICA DE PESSOAS,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,3,Aperfeiçoamento Profissional ,Unidade,Servidor aperfeiçoado,150,508,"Os cursos de aperfeiçoamento profissional são direcionados para ampliação, complementação ou atualização de competências profissionais. A demanda por cursos de capacitação foi maior do que a prevista.",,"338,667"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1601,DIRETORIA DE POLÍTICAS DE GESTÃO ESTRATÉGICA DE PESSOAS,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,4,Valorização do Servidor,Unidade,Concurso realizado,1,0,O concurso Prêmio INOVAR foi suspenso para o ano de 2018.,Orçamentárias e/ou financeiras,0
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1602,DIRETORIA DE ADMINISTRAÇÃO DE PESSOAL,14,Gestão dos Recursos Humanos,2809,Gerenciamento do Sistema de Recursos Humanos,6,Planejamento e Acompanhamento de Recursos Humanos,Unidade,Processo Seletivo realizado,5,2,Nenhum processo seletivo foi homologado nos meses de novembro e dezembro.,Institucionais,40
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,1,Qualificação dos Processos da Secretaria Municipal de Saúde,Unidade,Centro qualificado,76,0,"Foi elaborada uma Instrução Normativa, falta fluxo de acesso e Plano de Ação para cada Centro de Saúde.",Administrativas e/ou Gerenciais,0
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,2,Implantação do Sistema de Gestão e Planejamento de Contratos e Ordens de Serviços,Percentual de execução,Sistema implantado,100,90,Necessidade de termo aditivo. Projeto finaliza no primeiro semestre de 2019.,Administrativas e/ou Gerenciais,90
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,3,Implementação de Sistema de Tramitação Eletrônica de Documentos Administrativos da PBH,Percentual de execução,Sistema implantado,90,0,Licitação não efetivada.,Licitações,0
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,4,"Implantação de Sistema Integrado de Gestão para as Áreas Administrativa, Orçamentário-financeira, Previdenciária e Recursos Humanos",Percentual de execução,Sistema implantado,50,0,Licitação não efetivada.,Licitações,0
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,5,Implantação de Solução de Cadastro Multifinalitário no Âmbito da PBH,Percentual de execução,Sistema implantado,60,0,Licitação não efetivada.,Licitações,0
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,6,Implementação de Projetos Estratégicos,Unidade,Projeto implantado,3,20,Aumento de escopo,,"666,667"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,7,Implantação de Sistema de Gestão de Arquivos e Controle de Temporalidade no Âmbito da PBH,Percentual de execução,Sistema implantado,70,10,"Redução de escopo
",Administrativas e/ou Gerenciais,"14,286"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,8,Implantação de Sistema de Recursos Humanos no Âmbito do Hospital HOB,Percentual de execução,Sistema implantado,90,80,Necessidade de aditamento de prazo.,Administrativas e/ou Gerenciais,"88,889"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,166,Prefeitura Moderna e Eficiente,1323,Gestão e Modernização de Processos e Promoção da Eficiência Administrativa,9,Redesenhar e Otimizar Processos Críticos da PBH,Unidade,Processo redesenhado,60,20,Redefinição de escopo.,Institucionais,"33,333"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,1,Integração do SIGESP com Sistemas Finalísticos e Aplicativo Móvel da PBH,Percentual de execução,Sistema customizado,100,97,Aumento de escopo.,Alterações de demanda em relação aos produtos ou serviços ofertados à população,97
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,2,Readequação dos Balcões de Atendimento (META NÃO CUMULATIVA),Unidade,Balcão readequado,7,6,"Foram readequadas 6 Regionais, faltou a readequação da Regional Noroeste, devido à alteração no planejamento.",Administrativas e/ou Gerenciais,"85,714"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,3,Implantação da Base Única do Cidadão - BUC,Percentual de execução,Base implantada,70,0,"Esta meta foi readequada e terá outra concepção em 2019.
",Administrativas e/ou Gerenciais,0
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,4,Gestão do 156 -  Canal Telefônico de Atendimento,Unidade,Atendimento realizado,890000,718508,A execução abaixo da meta ocorreu devido a redução da demanda de atendimento.,Alterações de demanda em relação aos produtos ou serviços ofertados à população,"80,731"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,5,Gestão da Operação da Central BHResolve,Unidade,Atendimento realizado,850000,1161760,"Atendimentos diversos: Sala Mineira do Empreendedor, atendimento sazonal dos ambulantes, dentre outros que superaram a meta.
",,"136,678"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,6,Desenvolvimento de um Novo Aplicativo Móvel de Relacionamento com o Cidadão,Percentual de execução,Aplicativo desenvolvido,90,30,Ação em andamento,Administrativas e/ou Gerenciais,"33,333"
600,"SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E GESTÃO",1800,SUBSECRETARIA DE MODERNIZAÇÃO DA GESTÃO,302,Belo Horizonte Cidade Inteligente,2365,Melhoria da Qualidade do Relacionamento com o Cidadão,7,Desenvolvimento de Novas Funcionalidades e os Módulos de Gestão de Conteúdo Institucional e Serviços no Novo Portal da PBH,Percentual de execução,Portal implantado,90,40,Ação em Andamento,Administrativas e/ou Gerenciais,"44,444"
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,85,Gestão da Política de Tecnologia da Informação e Comunicação,2900,Serviços Administrativos e Financeiros,2,Formação e Capacitação em Tecnologia da Informação,Pessoa,Pessoa capacitada,2000,2958,"Meta excedida em 958 participantes: palestras sobre código de conduta, sipat e capacitação de fiscais",,"147,9"
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1901,DIRETORIA DE INFRAESTRUTURA,85,Gestão da Política de Tecnologia da Informação e Comunicação,2602,"Gerenciamento, Implantação e Atendimento de Serviços na RMI",2,Evolução dos Datacenters às Demandas de Serviços de TIC da PBH,Percentual de execução,Data center adequado,50,18,Manteve 18% pois processo licitatório foi realizado mas não foi aprovado pelo CCG.,Orçamentárias e/ou financeiras,36
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1901,DIRETORIA DE INFRAESTRUTURA,85,Gestão da Política de Tecnologia da Informação e Comunicação,2602,"Gerenciamento, Implantação e Atendimento de Serviços na RMI",3,Atualização do Parque Computacional de Desktop da Prodabel ,Unidade,Parque computacional da Prodabel atualizado,107,0,Processos de aquisição dos equipamento ainda em andamento. Devem ocorrer em 2019.,Orçamentárias e/ou financeiras,0
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1901,DIRETORIA DE INFRAESTRUTURA,85,Gestão da Política de Tecnologia da Informação e Comunicação,2602,"Gerenciamento, Implantação e Atendimento de Serviços na RMI",4,Revisão das Políticas de Backup e Descarte de Informações Geradas pelos Sistemas Críticos de Informação da PBH ,Percentual de execução,Solução Archiver Mannager implantada,50,50,,,100
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1901,DIRETORIA DE INFRAESTRUTURA,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,3,Reestruturação do Ambiente de Monitoramento (META NÃO CUMULATIVA),Percentual de execução,Rede lógica monitorada,25,"89,5",Crescimento devido a novos ativos cadastrados.,,358
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1901,DIRETORIA DE INFRAESTRUTURA,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,4,Expansão da Rede Óptica da PBH ,Unidade,Unidade Administrativa da PBH conectada via rede óptica,797,817,16 locais em fibra optica em dez.,,"102,509"
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1901,DIRETORIA DE INFRAESTRUTURA,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,5,"Evolução da Rede de Telecomunicação da PBH - Expansão, Modernização, Substituição",Unidade,Hotspot implantado,20,6,Em cotação para licitação da compra dos APS.,Financiamento Externo,30
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1901,DIRETORIA DE INFRAESTRUTURA,85,Gestão da Política de Tecnologia da Informação e Comunicação,2605,Evolução da Rede de Telecomunicações da PBH ,6,Mapeamento do Grau de Aderência da PBH em Gestão de Segurança da Informação (META NÃO CUMULATIVA),Percentual de execução,Nível de maturidade de segurança alcançado,23,"23,96",Em dezembro o nível de maturidade foi mantido.,,"104,174"
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1901,DIRETORIA DE INFRAESTRUTURA,302,Belo Horizonte Cidade Inteligente,2905,Fomentar Pólo Tecnológico de BH,4,Fornecimento de Conectividade para a Comunidade de TI,Unidade,Ponto com acesso a internet fornecido,2,2,,,100
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1902,DIRETORIA DE SISTEMAS E INFORMAÇÃO,302,Belo Horizonte Cidade Inteligente,2603,Implantação de Soluções e Modernização de Sistemas ,2,Implantação de Solução e Modernização de Sistemas,Percentual de execução,"Serviço com acesso online, relacionado no Portal de Serviços, reestruturado",20,20,,,100
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1902,DIRETORIA DE SISTEMAS E INFORMAÇÃO,302,Belo Horizonte Cidade Inteligente,2905,Fomentar Pólo Tecnológico de BH,1,Realização de Eventos/Hackatons,Unidade,Evento realizado,2,2,,,100
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1902,DIRETORIA DE SISTEMAS E INFORMAÇÃO,302,Belo Horizonte Cidade Inteligente,2905,Fomentar Pólo Tecnológico de BH,2,Disponibilização de API - Interface de Programação de Aplicativo,Percentual de execução,API disponibilizado,35,23,Pendente a publicação do Decreto que encontra-se no Gabinete do Prefeito para avaliação.,Institucionais,"65,714"
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1903,DIRETORIA DE INCLUSÃO DIGITAL,302,Belo Horizonte Cidade Inteligente,2604,Centro de Recondicionamento de Computadores,1,Manutenção dos Centros de Inclusão Digital (META NÃO CUMULATIVA),Unidade,Centro de Inclusão digital ativo,302,302,,,100
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1903,DIRETORIA DE INCLUSÃO DIGITAL,302,Belo Horizonte Cidade Inteligente,2604,Centro de Recondicionamento de Computadores,2,Recondicionamento de Computadores,Unidade,Equipamento recondicionado,1000,1301,"Recurso liberado pelo MCTIC, possibilintando uma maior execução da meta",,"130,1"
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1903,DIRETORIA DE INCLUSÃO DIGITAL,302,Belo Horizonte Cidade Inteligente,2604,Centro de Recondicionamento de Computadores,4,Disponibilização de Acesso aos Telecentros,Unidade,Acesso de usuário ao telecentro,600000,609828,Manutenção da Meta,,"101,638"
604,EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE,1904,DIRETORIA DE ATENÇÃO AO USUÁRIO,302,Belo Horizonte Cidade Inteligente,2905,Fomentar Pólo Tecnológico de BH,3,Implantação do Portal Rota da Tecnologia,Unidade,Entidade mapeada e disponibilizada,175,0,"Esta ação não será mais executada pela PRODABEL. Está sendo estruturada pela SMDE e SMPOG, pois apresentou-se bem mais ampla do que havia sido proposto originalmente.",Institucionais,0
800,SECRETARIA MUNICIPAL DE FAZENDA,2000,SUBSECRETARIA DA RECEITA MUNICIPAL,13,Gestão do Sistema Tributário Municipal,2052,Administração Tributária Municipal,4,"Sistema de Integração, Gestão e Inteligência do ISSQN - SIGISS  ",Percentual de execução,Sistema implantado,40,30,aguardando processo licitatorio,Licitações,75
800,SECRETARIA MUNICIPAL DE FAZENDA,2000,SUBSECRETARIA DA RECEITA MUNICIPAL,13,Gestão do Sistema Tributário Municipal,2052,Administração Tributária Municipal,5,Blac Eletrônico,Percentual de execução,Sistema implantado,100,100,meta concluida,,100
800,SECRETARIA MUNICIPAL DE FAZENDA,2000,SUBSECRETARIA DA RECEITA MUNICIPAL,13,Gestão do Sistema Tributário Municipal,2052,Administração Tributária Municipal,6,Incremento da Arrecadação (META NÃO CUMULATIVA),Percentual,Aumento real na arrecadação,2,"3,8",Medidas adotadas no Planejamento Estratégico para incremento da arrecadação,,190
800,SECRETARIA MUNICIPAL DE FAZENDA,2200,SUBSECRETARIA DE ADMINISTRAÇÃO E LOGÍSTICA,7,Apoio Administrativo e Financeiro,2110,Administração do Patrimônio Municipal,2,Regularização de Propriedades Municipais,Unidade,Propriedade regularizada,70,58,Fluxo de atendimento cartorário.,Administrativas e/ou Gerenciais,"82,857"
805,FUNDO DE MODERNIZAÇÃO E APRIMORAMENTO ADM. TRIBUTÁRIA DO MUNICÍPIO,1100,SEVIÇOS ADMINISTRATIVOS E FINANCEIROS,105,Gestão da Política Fiscal Municipal,2652,Coordenação Superior das Finanças,2,Capacitação e Aperfeiçoamento dos Servidores da Administração Tributária ,Pessoa,Servidor capacitado,124,123,meta não atingida por questões admininistrativas,Administrativas e/ou Gerenciais,"99,194"
1000,"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, SEGURANÇA ALIMENTAR E CIDADANIA",1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,123,"Gestão da Politica de Assistência Social, Segurança Alimentar e Cidadania",2787,Planejamento e Monitoramento e Divulgação da Política Social,1,Realização e acompanhamento de eventos diversos institucionais ,Unidade,Evento realizado,36,27,A meta física não foi executada em sua totalidade devido a realização de pré-conferências e seminários que ainda acontecerão em 2019. ,Administrativas e/ou Gerenciais,75
1000,"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, SEGURANÇA ALIMENTAR E CIDADANIA",1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,123,"Gestão da Politica de Assistência Social, Segurança Alimentar e Cidadania",2787,Planejamento e Monitoramento e Divulgação da Política Social,2,Realização de Publicações diversas e Produção de Material Informativo,Unidade,Material produzido,40,137,"Meta superada em função de atividades não previstas, uma vez que a demanda de produção de material foi solicitada no primeiro semestre de 2018, para realização de evento. ",,"342,5"
1000,"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, SEGURANÇA ALIMENTAR E CIDADANIA",1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,123,"Gestão da Politica de Assistência Social, Segurança Alimentar e Cidadania",2787,Planejamento e Monitoramento e Divulgação da Política Social,3,Articulação para Gestão Integrada e Intersetorial das Políticas Sociais,Unidade,Ação Intersetorial,12,23,Meta estipulada foi superada em razão das articulações que se fizeram necessárias para acompanhar os empreendimentos CEU Paulo VI e Taquaril.,,"191,667"
1000,"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, SEGURANÇA ALIMENTAR E CIDADANIA",1100,SERVIÇOS ADMINISTRATIVOS E FINANCEIROS,123,"Gestão da Politica de Assistência Social, Segurança Alimentar e Cidadania",2804,Gestão dos Equipamentos e Promoção Social,2,Articulação para a expansão da oferta de serviços no âmbito do Programa BH Cidadania,Unidade,Atividade realizada,24,24,,,100
1000,"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, SEGURANÇA ALIMENTAR E CIDADANIA",2500,SUBSECRETARIA DE DIREITO E CIDADANIA,123,"Gestão da Politica de Assistência Social, Segurança Alimentar e Cidadania",2334,Participação Popular,3,Realização de Conferências,Unidade,Evento realizado,2,2,,,100
1000,"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, SEGURANÇA ALIMENTAR E CIDADANIA",2500,SUBSECRETARIA DE DIREITO E CIDADANIA,127,Promoção e Defesa de Direitos Humanos e Cidadania ,2335,Educação Política em Direitos Humanos e Cidadania,1,Formação em Direitos e Cidadania para sociedade civil,Pessoa,Pessoa formada,2310,3372,Aumento da demanda.,,"145,974"
1000,"SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, SEGURANÇA ALIMENTAR E CIDADANIA",2500,SUBSECRETARIA DE DIREITO E CIDADANIA,127,Promoção e Defesa de Direitos Humanos e Cidadania ,2335,Educação Política em Direitos Humanos e Cidadania,2,Formação em Direitos e Cidadania para agentes públicos ,Pessoa,Pessoa formada,755,2316,Ampliação das áreas temáticas e de equipes,,"306,755"
