Relatório 3º Quadrimestre 2018 - Analítico,,,,,,,,,,,,,,,,,,,,,,,,,
uo,nome_uo,funcao,nome_funcao,subfuncao,nome_subfuncao,programa,nome_programa,projativ,nome_projativ,subitem_projativ,nome_subitem_projativ,natureza_despesa,nome_natureza_despesa,fonte,fonte_detalhe,nome_fonte_detalhe,valor_orcado,saldo_credito,valor_empenhado,valor_liquidado,valor_pago,saldo_empenho_dezembro_câmara,saldo_emp_liq_dezembro_câmara,valor_liquidado,valor_pago
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,319011,VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL,1,0,RECURSOS ORDINÁRIOS DO TESOURO ,123570000,123570000,"113349283,89","113349283,89","113349283,89","484324,5","9113103,17","112864959,39","104236180,72"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,319013,OBRIGAÇÕES PATRONAIS,1,0,RECURSOS ORDINÁRIOS DO TESOURO ,14355000,14355000,"12972979,18","12972979,18","12972979,18","100735,83","1108730,43","12872243,35","11864248,75"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,319016,OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL,1,0,RECURSOS ORDINÁRIOS DO TESOURO ,440000,440000,"346398,81","346398,81","346398,81","15632,9",50000,"330765,91","296398,81"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,319091,SENTENÇAS JUDICIAIS ,1,0,RECURSOS ORDINÁRIOS DO TESOURO ,1000,1000,0,0,0,0,0,0,0
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,319092,DESPESAS DE EXERCÍCIOS ANTERIORES,1,0,RECURSOS ORDINÁRIOS DO TESOURO ,49000,49000,"1060,14","1060,14","1060,14",0,0,"1060,14","1060,14"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,319094,INDENIZAÇÕES E RESTITUIÇÕES TRABALHISTAS,1,0,RECURSOS ORDINÁRIOS DO TESOURO ,7000000,7000000,"3408663,73","3408663,73","3408663,73","697052,79","757110,04","2711610,94","2651553,69"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,319113,OBRIGAÇÕES PATRONAIS,1,0,RECURSOS ORDINÁRIOS DO TESOURO ,13200000,13200000,"10650250,83","10650250,83","10650250,83","14402,32",855000,"10635848,51","9795250,83"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,319192,DESPESAS DE EXERCÍCIOS ANTERIORES,1,0,RECURSOS ORDINÁRIOS DO TESOURO ,10000,10000,0,0,0,0,0,0,0
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,339008,OUTROS BENEFÍCIOS ASSISTENCIAIS DO SERVIDOR OU DO MILITAR,3,0,RECURSOS ORDINÁRIOS DO TESOURO ,1498300,1498300,"746236,93","746236,93","746236,93","131752,28","140302,2","614484,65","605934,73"
101,CÂMARA MUNICIPAL,1,Legislativa,31,Ação Legislativa,1,Atuação Legislativa da Câmara Municipal,2001,Execução da Atividade Institucional do Poder Legislativo Municipal,1,Execução da Atividade Institucional do Poder Legislativo Municipal,339014,DIÁRIAS - CIVIL,3,0,RECURSOS ORDINÁRIOS DO TESOURO ,10000,10000,"8039,99","8039,99","8039,99",0,0,"8039,99","8039,99"
