"";"ID2021";"valor_orcado2020";"valor_empenhado2020";"descricao_medida2020";"descricao_produto2020";"qtde_prevista2020";"qtde_executada_ate_periodo2020";"justificativa2020";"valor_orcado2019";"valor_empenhado2019";"descricao_medida2019";"descricao_produto2019";"qtde_prevista2019";"qtde_executada_ate_periodo2019";"justificativa2019";"valor_orcado2018";"valor_empenhado2018";"unidade_medida2018";"Produto2018";"qtde_prevista2018";"Executado2018";"justificativa2018";"programa";"acao";"subacao";"Programa.x";"Acao";"Subacao";"Produto2021";"UnidadeMedida2021";"orcado2021";"executado2021";"Justificativa2021";"Programa.y";"Projativ";"Subitem_projativ";"orcado_2021";"Empenhado_2021"
"1";13212681;0;0;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";635580;88727,93;"Unidade";"Próprio construído, ampliado, reformado ou mantido";"1";"0";"Sem execução até o momento. Nota de empenho emitida em Abril/2018, referente indenização devido majoração de ISSQN para o contrato de execução de obra de reforma do Restaurante Popular II.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Construção, Ampliação e Reforma de Restaurantes Populares";"Construção, Ampliação e Reforma de Restaurantes Populares";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";13221201;0;0;"-";"-";"-";"-";"-";331060;636080,75;"-";"-";"-";"-";"-";7520544;5651165,85;"-";"-";"-";"-";"-";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Assistência Alimentar à Rede Socioassistencial";"Gestão  e Monitoramento da Assistência Alimentar à Rede Social Conveniada";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";13221202;6233254;6080598,95;"Unidade";"Refeição Servida";"6952000";"6637025";"O dimensionamento da meta depende de fatores externos, como previsão do atendimento pelos serviços da alta e média complexidade dos serviços socioassistenciais e também de adesão dos beneficiários.";5247000;5429530,04;"Unidade";"Refeição Servida";"6921090";"6587079";"O dimensionamento da meta depende  de fatores externos, como previsão de atendimento pela SUASS e também de adesão dos beneficiários.";5619800;5018836,13;"Unidade";"Refeição Servida";"6921090";"7112520";"A demanda de consumo pode variar ao longo do ano, seja pela entrada e saída de beneficiários, seja pela adesão às refeições.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Assistência Alimentar à Rede Socioassistencial";"Assistência Alimentar às Unidades de Acolhimento Institucional";132;2120;2;"Refeição Servida";"Unidade";6952000;6144232;"O dimensionamento da meta depende  de fatores externos, como previsão de atendimento de usuários pelas unidades e também de adesão às refeições.";132;2120;2;6359375;6402656,08
"4";13221203;0;0;"-";"-";"-";"-";"-";30210;30030,92;"Unidade";"Refeição Servida";"30000";"37172";"O dimensionamento da meta depende  de fatores externos, como previsão de atendimento pela SUASS e também de adesão dos beneficiários.";30000;19250;"Unidade";"Refeição Servida";"30000";"18724";"A demanda depende das atividades dos CRAS e da adesão das famílias dos territórios.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Assistência Alimentar à Rede Socioassistencial";"Assistência Alimentar aos CRAS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";13221204;1175044;200731;"Família";"Família beneficiada";"1000";"2091";"Qtde executada foi maior devido ao número de refeições destinadas às famílias desabrigadas ou desalojadas das áreas de risco demandadas pela Coordenadoria Municipal de Defesa Civil – COMDEC durante as chuvas fortes no início do ano";520000;374359,42;"Família";"Família beneficiada";"1000";"4026";"O dimensionamento da meta depende  de fatores externos, como previsão de atendimento pela SUASS e também de adesão dos beneficiários.";1e+06;45163,65;"Família";"Família beneficiada";"1000";"460";"Em face de restrições do período eleitoral, houve atrasos na implementação do atendimento às famílias em situação de extrema pobreza.


";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Assistência Alimentar à Rede Socioassistencial";"Assistência Alimentar às Familias em Situações Emergenciais";132;2120;4;"Família beneficiada";"Família";1600;523;"Famílias Defesa Civil/Urbel: o dimensionamento da meta depende  de fatores externos, como alagamentos. Famílias PAAN: o programa começou o atendimento em 16/12/21, sendo que a execução depende do encaminhamento das famílias pela Assistência Social";132;2120;4;1730582;377327,26
"6";13221205;0;106958539,65;"Unidade";"Cesta básica concedida";"0";"1161606";"Trata-se de contratação emergencial para combater os efeitos economicos e sociais da pandemia do COVID-19, garantindo o acesso à alimentação


";0;0;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Assistência Alimentar à Rede Socioassistencial";"Alimentação para famílias vulneráveis (Covid-19)";132;2120;5;"Cesta básica concedida";"Unidade";0;1796679;"Sequencial criado em 2021 em razão da continuidade da pandemia da COVID 19 (não programando em 2020).";132;2120;5;0;178772811,28
"7";13221206;0;0;"Unidade";"Cesta básica concedida";"0";"0";"-";0;0;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão da Assistência Alimentar à Rede Socioassistencial";"Alimentação para famílias de alunos da rede pública e parceira - Covid-19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";13223071;26329548;23307945,23;"Unidade";"Refeição Servida";"2850000";"1869896";"Em função da Pandemia instaurada pelo Corona virus COVID-19, a demanda pelos Restaurantes Populares diminuiu consideravelmente, pois parte da população está em isolamento social além das atividades comerciais estarem restritas.


";23505100;24578688,78;"Unidade";"Refeição Servida";"2850000";"2574524";"Não ampliação do serviço conforme havíamos previsto a possibilidade à época de criação da meta";27029530;21705084,18;"Unidade";"Refeição Servida";"3,00E+06";"2427888";"A execução foi menor devido ao atraso em reabrir o café da manhã e o jantar e a não implantação da abertura do RP1 nos finais de semana e feriado.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão dos Restaurantes e Refeitórios Populares";"Modernização, manutenção e fornecimento de refeições subsidiadas em restaurantes e refeitórios populares";132;2307;1;"Refeição Servida";"Unidade";2750000;2059833;"Continuidade do cenário pandemico impactou diretamente na procura da população pelo Restaurante Popular. Além da manutenção do fechamento do Refeitório Popular._x000D_
";132;2307;1;26589496;25024819,55
"9";13223073;0;0;"-";"-";"-";"-";"-";558000;102528,66;"Percentual de execução";"Equipamento modernizado";"25";"19";"Atraso na liberação do recurso de contrato de repasse para aquisição de parte dos equipamentos necessários";1e+06;9683;"Unidade";"Equipamento mantido";"3";"0";"Atraso na licitação de equipamentos. Empenhos refere-se ao inicio das aquisições. Menos de 1% do previsto.";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão dos Restaurantes e Refeitórios Populares";"Modernização de Restaurantes e refeitórios populares";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";13223075;0;0;"-";"-";"-";"-";"-";0;0;"-";"-";"-";"-";"-";55120;34422,31;"Unidade";"Pesquisa realizada";"12";"12";"-";"Segurança Alimentar e Nutricional na Perspectiva do Direito e da Assistência Alimentar";"Gestão dos Restaurantes e Refeitórios Populares";"Pesquisa Mensal de Gêneros Alimentícios e Material de Higiene e Limpeza";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
